Review,Rating,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,Label
"pemeliharaan tiap minggu, tapi YTTA ga ada perubahan dalam sistem hasil 0 gausah download game ini mendingan yg baca",1,pemeliharaan tiap minggu tapi YTTA ga ada perubahan dalam sistem hasil  gausah download game ini mendingan yg baca,pemeliharaan tiap minggu tapi ytta ga ada perubahan dalam sistem hasil  gausah download game ini mendingan yg baca,pemeliharaan tiap minggu tapi ytta ga ada perubahan dalam sistem hasil gausah download game ini mendingan yang baca,"['pemeliharaan', 'tiap', 'minggu', 'tapi', 'ytta', 'ga', 'ada', 'perubahan', 'dalam', 'sistem', 'hasil', 'gausah', 'download', 'game', 'ini', 'mendingan', 'yang', 'baca']","['pemeliharaan', 'minggu', 'ytta', 'perubahan', 'sistem', 'hasil', 'gausah', 'download', 'game', 'mendingan', 'baca']",pemeliharaan minggu ytta perubahan sistem hasil gausah download game mendingan baca,neutral
bansos aja susah dapat epicnya,1,bansos aja susah dapat epicnya,bansos aja susah dapat epicnya,bansos saja susah dapat epicnya,"['bansos', 'saja', 'susah', 'dapat', 'epicnya']","['bansos', 'susah', 'epicnya']",bansos susah epicnya,negative
"Semenjak update, pembaruan aplikasi, jadi stuck di layar depan, device mumpuni, semoga segera di selesaikan, overall, this is the best game",3,Semenjak update pembaruan aplikasi jadi stuck di layar depan device mumpuni semoga segera di selesaikan overall this is the best game,semenjak update pembaruan aplikasi jadi stuck di layar depan device mumpuni semoga segera di selesaikan overall this is the best game,semenjak update pembaruan aplikasi jadi stuck di layar depan device mumpuni semoga segera di selesaikan overall this is the best game,"['semenjak', 'update', 'pembaruan', 'aplikasi', 'jadi', 'stuck', 'di', 'layar', 'depan', 'device', 'mumpuni', 'semoga', 'segera', 'di', 'selesaikan', 'overall', 'this', 'is', 'the', 'best', 'game']","['semenjak', 'update', 'pembaruan', 'aplikasi', 'stuck', 'layar', 'device', 'mumpuni', 'semoga', 'selesaikan', 'overall', 'best', 'game']",semenjak update pembaruan aplikasi stuck layar device mumpuni semoga selesaikan overall best game,positive
"kenapa ketika mendownload file tambahan nya ngestaq di 0 , mhon diperbaiki Konami",3,kenapa ketika mendownload file tambahan nya ngestaq di   mhon diperbaiki Konami,kenapa ketika mendownload file tambahan nya ngestaq di   mhon diperbaiki konami,kenapa ketika mendownload file tambahan nya ngestaq di mhon diperbaiki konami,"['kenapa', 'ketika', 'mendownload', 'file', 'tambahan', 'nya', 'ngestaq', 'di', 'mhon', 'diperbaiki', 'konami']","['mendownload', 'file', 'tambahan', 'ngestaq', 'mhon', 'diperbaiki', 'konami']",mendownload file tambahan ngestaq mhon diperbaiki konami,positive
game rusak habis update malah ngga bisa di pakai udah di hapus download Lagi sampai 3x tetep aja ngga bisa di pakai,1,game rusak habis update malah ngga bisa di pakai udah di hapus download Lagi sampai x tetep aja ngga bisa di pakai,game rusak habis update malah ngga bisa di pakai udah di hapus download lagi sampai x tetep aja ngga bisa di pakai,game rusak habis update bahkan tidak bisa di pakai sudah di hapus download lagi sampai x tetep saja tidak bisa di pakai,"['game', 'rusak', 'habis', 'update', 'bahkan', 'tidak', 'bisa', 'di', 'pakai', 'sudah', 'di', 'hapus', 'download', 'lagi', 'sampai', 'x', 'tetep', 'saja', 'tidak', 'bisa', 'di', 'pakai']","['game', 'rusak', 'habis', 'update', 'pakai', 'hapus', 'download', 'x', 'tetep', 'pakai']",game rusak habis update pakai hapus download x tetep pakai,negative
Pembaharuan tapi makin tdk bagus di pakai makin lambat gerakannya,1,Pembaharuan tapi makin tdk bagus di pakai makin lambat gerakannya,pembaharuan tapi makin tdk bagus di pakai makin lambat gerakannya,pembaharuan tapi makin tidak bagus di pakai makin lambat gerakannya,"['pembaharuan', 'tapi', 'makin', 'tidak', 'bagus', 'di', 'pakai', 'makin', 'lambat', 'gerakannya']","['pembaharuan', 'bagus', 'pakai', 'lambat', 'gerakannya']",pembaharuan bagus pakai lambat gerakannya,negative
"Tambahkan fitur batal passing! Pemain sering tidak respon terhadap bola! Tombol nya sering ga responsif! Masalah Klasik. Passing nya tidak konsisten, Sering kali salah passing.",1,Tambahkan fitur batal passing Pemain sering tidak respon terhadap bola Tombol nya sering ga responsif Masalah Klasik Passing nya tidak konsisten Sering kali salah passing,tambahkan fitur batal passing pemain sering tidak respon terhadap bola tombol nya sering ga responsif masalah klasik passing nya tidak konsisten sering kali salah passing,tambahkan fitur batal passing pemain sering tidak respon terhadap bola tombol nya sering ga responsif masalah klasik passing nya tidak konsisten sering kali salah passing,"['tambahkan', 'fitur', 'batal', 'passing', 'pemain', 'sering', 'tidak', 'respon', 'terhadap', 'bola', 'tombol', 'nya', 'sering', 'ga', 'responsif', 'masalah', 'klasik', 'passing', 'nya', 'tidak', 'konsisten', 'sering', 'kali', 'salah', 'passing']","['tambahkan', 'fitur', 'batal', 'passing', 'pemain', 'respon', 'bola', 'tombol', 'responsif', 'klasik', 'passing', 'konsisten', 'kali', 'salah', 'passing']",tambahkan fitur batal passing pemain respon bola tombol responsif klasik passing konsisten kali salah passing,negative
bisa nggak buat eFootball offline seperti ml,5,bisa nggak buat eFootball offline seperti ml,bisa nggak buat efootball offline seperti ml,bisa tidak buat efootball offline seperti ml,"['bisa', 'tidak', 'buat', 'efootball', 'offline', 'seperti', 'ml']","['efootball', 'offline', 'ml']",efootball offline ml,neutral
"abis pembaruan malah GK bisa di buka""heran ini",2,abis pembaruan malah GK bisa di bukaheran ini,abis pembaruan malah gk bisa di bukaheran ini,habis pembaruan bahkan gk bisa di bukaheran ini,"['habis', 'pembaruan', 'bahkan', 'gk', 'bisa', 'di', 'bukaheran', 'ini']","['habis', 'pembaruan', 'gk', 'bukaheran']",habis pembaruan gk bukaheran,positive
ok,4,ok,ok,ok,['ok'],['ok'],ok,positive
"semakin kesini semakin tambah delay ga nyaman, kalo main PVP tiba"" sinyal hilang""an padahal klo game Laine lancar"" aja, kalo ga diperbaiki lgi mendingan uninstall aja",1,semakin kesini semakin tambah delay ga nyaman kalo main PVP tiba sinyal hilangan padahal klo game Laine lancar aja kalo ga diperbaiki lgi mendingan uninstall aja,semakin kesini semakin tambah delay ga nyaman kalo main pvp tiba sinyal hilangan padahal klo game laine lancar aja kalo ga diperbaiki lgi mendingan uninstall aja,semakin kesini semakin tambah delay ga nyaman kalau main pvp tiba koneksi hilangan padahal kalau game laine lancar saja kalau ga diperbaiki lagi mendingan uninstall saja,"['semakin', 'kesini', 'semakin', 'tambah', 'delay', 'ga', 'nyaman', 'kalau', 'main', 'pvp', 'tiba', 'koneksi', 'hilangan', 'padahal', 'kalau', 'game', 'laine', 'lancar', 'saja', 'kalau', 'ga', 'diperbaiki', 'lagi', 'mendingan', 'uninstall', 'saja']","['kesini', 'delay', 'nyaman', 'main', 'pvp', 'koneksi', 'hilangan', 'game', 'laine', 'lancar', 'diperbaiki', 'mendingan', 'uninstall']",kesini delay nyaman main pvp koneksi hilangan game laine lancar diperbaiki mendingan uninstall,neutral
Hapus smart assist,3,Hapus smart assist,hapus smart assist,hapus smart assist,"['hapus', 'smart', 'assist']","['hapus', 'smart', 'assist']",hapus smart assist,negative
game miris umpan trobos lama banget delay,1,game miris umpan trobos lama banget delay,game miris umpan trobos lama banget delay,game miris umpan trobos lama banget delay,"['game', 'miris', 'umpan', 'trobos', 'lama', 'banget', 'delay']","['game', 'miris', 'umpan', 'trobos', 'banget', 'delay']",game miris umpan trobos banget delay,negative
game sinyal burik apa lah game ini main lag lag benerin lah Konami sinyal mu ini gak jelas gimana player mo betah maen patah patah,1,game sinyal burik apa lah game ini main lag lag benerin lah Konami sinyal mu ini gak jelas gimana player mo betah maen patah patah,game sinyal burik apa lah game ini main lag lag benerin lah konami sinyal mu ini gak jelas gimana player mo betah maen patah patah,game koneksi buruk apa lah game ini main lambat lambat benerin lah konami koneksi mu ini gak jelas bagaimana player mau betah main patah patah,"['game', 'koneksi', 'buruk', 'apa', 'lah', 'game', 'ini', 'main', 'lambat', 'lambat', 'benerin', 'lah', 'konami', 'koneksi', 'mu', 'ini', 'gak', 'jelas', 'bagaimana', 'player', 'mau', 'betah', 'main', 'patah', 'patah']","['game', 'koneksi', 'buruk', 'game', 'main', 'lambat', 'lambat', 'benerin', 'konami', 'koneksi', 'mu', 'player', 'betah', 'main', 'patah', 'patah']",game koneksi buruk game main lambat lambat benerin konami koneksi mu player betah main patah patah,negative
effotball sekarang jelek banget lebih bagus effotball dulu dan enak main nya dan bisa beli pemain legendaris,1,effotball sekarang jelek banget lebih bagus effotball dulu dan enak main nya dan bisa beli pemain legendaris,effotball sekarang jelek banget lebih bagus effotball dulu dan enak main nya dan bisa beli pemain legendaris,effotball sekarang jelek banget lebih bagus effotball dulu dan enak main nya dan bisa beli pemain legendaris,"['effotball', 'sekarang', 'jelek', 'banget', 'lebih', 'bagus', 'effotball', 'dulu', 'dan', 'enak', 'main', 'nya', 'dan', 'bisa', 'beli', 'pemain', 'legendaris']","['effotball', 'jelek', 'banget', 'bagus', 'effotball', 'enak', 'main', 'beli', 'pemain', 'legendaris']",effotball jelek banget bagus effotball enak main beli pemain legendaris,negative
this update may be the worst update on gameplay i have seen from this game,1,this update may be the worst update on gameplay i have seen from this game,this update may be the worst update on gameplay i have seen from this game,this update may be the worst update on gameplay i have seen from this game,"['this', 'update', 'may', 'be', 'the', 'worst', 'update', 'on', 'gameplay', 'i', 'have', 'seen', 'from', 'this', 'game']","['update', 'may', 'worst', 'update', 'gameplay', 'seen', 'game']",update may worst update gameplay seen game,positive
master link nya di benerin lah Konami,1,master link nya di benerin lah Konami,master link nya di benerin lah konami,master link nya di benerin lah konami,"['master', 'link', 'nya', 'di', 'benerin', 'lah', 'konami']","['master', 'link', 'benerin', 'konami']",master link benerin konami,negative
sangat bgus,5,sangat bgus,sangat bgus,sangat bgus,"['sangat', 'bgus']",['bgus'],bgus,neutral
lebih bagus dari fc mobile 100x lipat,5,lebih bagus dari fc mobile x lipat,lebih bagus dari fc mobile x lipat,lebih bagus dari fc mobile x lipat,"['lebih', 'bagus', 'dari', 'fc', 'mobile', 'x', 'lipat']","['bagus', 'fc', 'mobile', 'x', 'lipat']",bagus fc mobile x lipat,negative
"game suka bikin jaringan lag, padahal bagus aja jaringan gua, aneh aneh",1,game suka bikin jaringan lag padahal bagus aja jaringan gua aneh aneh,game suka bikin jaringan lag padahal bagus aja jaringan gua aneh aneh,game suka bikin jaringan lambat padahal bagus saja jaringan saya aneh aneh,"['game', 'suka', 'bikin', 'jaringan', 'lambat', 'padahal', 'bagus', 'saja', 'jaringan', 'saya', 'aneh', 'aneh']","['game', 'suka', 'bikin', 'jaringan', 'lambat', 'bagus', 'jaringan', 'aneh', 'aneh']",game suka bikin jaringan lambat bagus jaringan aneh aneh,positive
"setelah update 1 miliar dowload ini saya merasa main pvp/online jadi lebih stabil dan tidak perlu jaring yg sangat kuat, dibandingkan sebelum nya jaringan harus benar2 kuat dan stabil baru bisa main pvp secara lancar....alhamdulillah server nya akhirnya ada kemajuan, mohon dipertahankan.",4,setelah update  miliar dowload ini saya merasa main pvponline jadi lebih stabil dan tidak perlu jaring yg sangat kuat dibandingkan sebelum nya jaringan harus benar kuat dan stabil baru bisa main pvp secara lancaralhamdulillah server nya akhirnya ada kemajuan mohon dipertahankan,setelah update  miliar dowload ini saya merasa main pvponline jadi lebih stabil dan tidak perlu jaring yg sangat kuat dibandingkan sebelum nya jaringan harus benar kuat dan stabil baru bisa main pvp secara lancaralhamdulillah server nya akhirnya ada kemajuan mohon dipertahankan,setelah update miliar dowload ini saya merasa main pvponline jadi lebih stabil dan tidak perlu jaring yang sangat kuat dibandingkan sebelum nya jaringan harus benar kuat dan stabil baru bisa main pvp secara lancaralhamdulillah server nya akhirnya ada kemajuan mohon dipertahankan,"['setelah', 'update', 'miliar', 'dowload', 'ini', 'saya', 'merasa', 'main', 'pvponline', 'jadi', 'lebih', 'stabil', 'dan', 'tidak', 'perlu', 'jaring', 'yang', 'sangat', 'kuat', 'dibandingkan', 'sebelum', 'nya', 'jaringan', 'harus', 'benar', 'kuat', 'dan', 'stabil', 'baru', 'bisa', 'main', 'pvp', 'secara', 'lancaralhamdulillah', 'server', 'nya', 'akhirnya', 'ada', 'kemajuan', 'mohon', 'dipertahankan']","['update', 'miliar', 'dowload', 'main', 'pvponline', 'stabil', 'jaring', 'kuat', 'dibandingkan', 'jaringan', 'kuat', 'stabil', 'main', 'pvp', 'lancaralhamdulillah', 'server', 'kemajuan', 'mohon', 'dipertahankan']",update miliar dowload main pvponline stabil jaring kuat dibandingkan jaringan kuat stabil main pvp lancaralhamdulillah server kemajuan mohon dipertahankan,positive
liga indonesia nya.kalau bisa di adakan juga,5,liga indonesia nyakalau bisa di adakan juga,liga indonesia nyakalau bisa di adakan juga,liga indonesia nyakalau bisa di adakan juga,"['liga', 'indonesia', 'nyakalau', 'bisa', 'di', 'adakan', 'juga']","['liga', 'indonesia', 'nyakalau', 'adakan']",liga indonesia nyakalau adakan,neutral
game nya keren banget min ah aku banget min,5,game nya keren banget min ah aku banget min,game nya keren banget min ah aku banget min,game nya keren banget min ah aku banget min,"['game', 'nya', 'keren', 'banget', 'min', 'ah', 'aku', 'banget', 'min']","['game', 'keren', 'banget', 'min', 'ah', 'banget', 'min']",game keren banget min ah banget min,positive
malah ga stcuk di 0% setelah login padahal ga pake clone anehh bet dah,1,malah ga stcuk di  setelah login padahal ga pake clone anehh bet dah,malah ga stcuk di  setelah login padahal ga pake clone anehh bet dah,bahkan ga stcuk di setelah login padahal ga pakai clone anehh banget deh,"['bahkan', 'ga', 'stcuk', 'di', 'setelah', 'login', 'padahal', 'ga', 'pakai', 'clone', 'anehh', 'banget', 'deh']","['stcuk', 'login', 'pakai', 'clone', 'anehh', 'banget', 'deh']",stcuk login pakai clone anehh banget deh,positive
game payah tiap saat update tahun tambah lemot,1,game payah tiap saat update tahun tambah lemot,game payah tiap saat update tahun tambah lemot,game buruk tiap saat update tahun tambah lambat,"['game', 'buruk', 'tiap', 'saat', 'update', 'tahun', 'tambah', 'lambat']","['game', 'buruk', 'update', 'lambat']",game buruk update lambat,negative
bampuki download lama sistem kurang kuat lagi anj,1,bampuki download lama sistem kurang kuat lagi anj,bampuki download lama sistem kurang kuat lagi anj,bampuki download lama sistem kurang kuat lagi anj,"['bampuki', 'download', 'lama', 'sistem', 'kurang', 'kuat', 'lagi', 'anj']","['bampuki', 'download', 'sistem', 'kuat', 'anj']",bampuki download sistem kuat anj,negative
gw udah seneng ada fitur master league malah kaya superkickoff jir gajelas kembalikan master league yang dulu 😭😭😭,1,gw udah seneng ada fitur master league malah kaya superkickoff jir gajelas kembalikan master league yang dulu,gw udah seneng ada fitur master league malah kaya superkickoff jir gajelas kembalikan master league yang dulu,saya sudah seneng ada fitur master league bahkan kaya superkickoff anjing gajelas kembalikan master league yang dulu,"['saya', 'sudah', 'seneng', 'ada', 'fitur', 'master', 'league', 'bahkan', 'kaya', 'superkickoff', 'anjing', 'gajelas', 'kembalikan', 'master', 'league', 'yang', 'dulu']","['seneng', 'fitur', 'master', 'league', 'kaya', 'superkickoff', 'anjing', 'gajelas', 'kembalikan', 'master', 'league']",seneng fitur master league kaya superkickoff anjing gajelas kembalikan master league,negative
game scrip gajelas udah di download malah ngestack 100%,1,game scrip gajelas udah di download malah ngestack,game scrip gajelas udah di download malah ngestack,game skenario gajelas sudah di download bahkan ngestack,"['game', 'skenario', 'gajelas', 'sudah', 'di', 'download', 'bahkan', 'ngestack']","['game', 'skenario', 'gajelas', 'download', 'ngestack']",game skenario gajelas download ngestack,positive
sering saat main tiba tiba ngeleg padahal jaringan bagus,2,sering saat main tiba tiba ngeleg padahal jaringan bagus,sering saat main tiba tiba ngeleg padahal jaringan bagus,sering saat main tiba tiba lambat padahal jaringan bagus,"['sering', 'saat', 'main', 'tiba', 'tiba', 'lambat', 'padahal', 'jaringan', 'bagus']","['main', 'lambat', 'jaringan', 'bagus']",main lambat jaringan bagus,negative
"update terbaru jelek banget, kontrol sentuh dan jentik membayangi malah ilang, pemain malah diem aja",1,update terbaru jelek banget kontrol sentuh dan jentik membayangi malah ilang pemain malah diem aja,update terbaru jelek banget kontrol sentuh dan jentik membayangi malah ilang pemain malah diem aja,update terbaru jelek banget kontrol sentuh dan jentik membayangi bahkan hilang pemain bahkan diem saja,"['update', 'terbaru', 'jelek', 'banget', 'kontrol', 'sentuh', 'dan', 'jentik', 'membayangi', 'bahkan', 'hilang', 'pemain', 'bahkan', 'diem', 'saja']","['update', 'terbaru', 'jelek', 'banget', 'kontrol', 'sentuh', 'jentik', 'membayangi', 'hilang', 'pemain', 'diem']",update terbaru jelek banget kontrol sentuh jentik membayangi hilang pemain diem,negative
"habis update game play jadi makin susah,apa lagi buat skil,kayak double touch marseli turn makin di buat ribett sampah",2,habis update game play jadi makin susahapa lagi buat skilkayak double touch marseli turn makin di buat ribett sampah,habis update game play jadi makin susahapa lagi buat skilkayak double touch marseli turn makin di buat ribett sampah,habis update game play jadi makin susahapa lagi buat skilkayak double touch marseli turn makin di buat ribett sampah,"['habis', 'update', 'game', 'play', 'jadi', 'makin', 'susahapa', 'lagi', 'buat', 'skilkayak', 'double', 'touch', 'marseli', 'turn', 'makin', 'di', 'buat', 'ribett', 'sampah']","['habis', 'update', 'game', 'play', 'susahapa', 'skilkayak', 'double', 'touch', 'marseli', 'turn', 'ribett', 'sampah']",habis update game play susahapa skilkayak double touch marseli turn ribett sampah,negative
"Dari segi pemainnya sangat bagus👍😊😊 cuma ada kurang kasih dong liga champions serta logony terus uefa, piala juga harus diubah sesuai liga masing2 dan jersey ny juga harus ori sesuai dgn liga masing2👌🤗😊 itu sj sih dr saya, alhamdulillah uda juara 10x , tp pingin rasain juara liga champions..",5,Dari segi pemainnya sangat bagus cuma ada kurang kasih dong liga champions serta logony terus uefa piala juga harus diubah sesuai liga masing dan jersey ny juga harus ori sesuai dgn liga masing itu sj sih dr saya alhamdulillah uda juara x  tp pingin rasain juara liga champions,dari segi pemainnya sangat bagus cuma ada kurang kasih dong liga champions serta logony terus uefa piala juga harus diubah sesuai liga masing dan jersey ny juga harus ori sesuai dgn liga masing itu sj sih dr saya alhamdulillah uda juara x  tp pingin rasain juara liga champions,dari segi pemainnya sangat bagus cuma ada kurang kasih dong liga champions serta logony terus uefa piala juga harus diubah sesuai liga masing dan jersey ny juga harus ori sesuai dengan liga masing itu saja sih dr saya alhamdulillah uda juara x tapi pingin rasain juara liga champions,"['dari', 'segi', 'pemainnya', 'sangat', 'bagus', 'cuma', 'ada', 'kurang', 'kasih', 'dong', 'liga', 'champions', 'serta', 'logony', 'terus', 'uefa', 'piala', 'juga', 'harus', 'diubah', 'sesuai', 'liga', 'masing', 'dan', 'jersey', 'ny', 'juga', 'harus', 'ori', 'sesuai', 'dengan', 'liga', 'masing', 'itu', 'saja', 'sih', 'dr', 'saya', 'alhamdulillah', 'uda', 'juara', 'x', 'tapi', 'pingin', 'rasain', 'juara', 'liga', 'champions']","['segi', 'pemainnya', 'bagus', 'kasih', 'liga', 'champions', 'logony', 'uefa', 'piala', 'diubah', 'sesuai', 'liga', 'jersey', 'ny', 'ori', 'sesuai', 'liga', 'dr', 'alhamdulillah', 'uda', 'juara', 'x', 'pingin', 'rasain', 'juara', 'liga', 'champions']",segi pemainnya bagus kasih liga champions logony uefa piala diubah sesuai liga jersey ny ori sesuai liga dr alhamdulillah uda juara x pingin rasain juara liga champions,positive
GAMEEEEEEEEEE KONTOLLLLLLLLLLLL,1,GAMEEEEEEEEEE KONTOLLLLLLLLLLLL,gameeeeeeeeee kontollllllllllll,gameeeeeeeeee kontollllllllllll,"['gameeeeeeeeee', 'kontollllllllllll']","['gameeeeeeeeee', 'kontollllllllllll']",gameeeeeeeeee kontollllllllllll,neutral
"semakin lama dan semakin sering update malah banyak kendala,seperti halnya jaringan slalu ngelag, berat, padahal jaringan hp bagus tp ujung""nya selalu kalah jika sudah kena jaringan dan kembalikn aturan awalnya saja mengenai lisensi sperti halnya sebelum update tnggal 9/4/2026 karna kemarin ada tambahan data efootball malah bikin kami selaku pemain terbebani dalam hal untuk penginstalan apalagi bagi penguna baru yang baru main sebab data semakin besar 2gb lebih, harus dongload data tmbahan lg",1,semakin lama dan semakin sering update malah banyak kendalaseperti halnya jaringan slalu ngelag berat padahal jaringan hp bagus tp ujungnya selalu kalah jika sudah kena jaringan dan kembalikn aturan awalnya saja mengenai lisensi sperti halnya sebelum update tnggal  karna kemarin ada tambahan data efootball malah bikin kami selaku pemain terbebani dalam hal untuk penginstalan apalagi bagi penguna baru yang baru main sebab data semakin besar gb lebih harus dongload data tmbahan lg,semakin lama dan semakin sering update malah banyak kendalaseperti halnya jaringan slalu ngelag berat padahal jaringan hp bagus tp ujungnya selalu kalah jika sudah kena jaringan dan kembalikn aturan awalnya saja mengenai lisensi sperti halnya sebelum update tnggal  karna kemarin ada tambahan data efootball malah bikin kami selaku pemain terbebani dalam hal untuk penginstalan apalagi bagi penguna baru yang baru main sebab data semakin besar gb lebih harus dongload data tmbahan lg,semakin lama dan semakin sering update bahkan banyak kendalaseperti halnya jaringan slalu lambat berat padahal jaringan hp bagus tapi ujungnya selalu kalah jika sudah kena jaringan dan kembalikn aturan awalnya saja mengenai lisensi sperti halnya sebelum update tnggal karena kemarin ada tambahan data efootball bahkan bikin kami selaku pemain terbebani dalam hal untuk penginstalan apalagi bagi penguna baru yang baru main sebab data semakin besar gb lebih harus dongload data tmbahan lagi,"['semakin', 'lama', 'dan', 'semakin', 'sering', 'update', 'bahkan', 'banyak', 'kendalaseperti', 'halnya', 'jaringan', 'slalu', 'lambat', 'berat', 'padahal', 'jaringan', 'hp', 'bagus', 'tapi', 'ujungnya', 'selalu', 'kalah', 'jika', 'sudah', 'kena', 'jaringan', 'dan', 'kembalikn', 'aturan', 'awalnya', 'saja', 'mengenai', 'lisensi', 'sperti', 'halnya', 'sebelum', 'update', 'tnggal', 'karena', 'kemarin', 'ada', 'tambahan', 'data', 'efootball', 'bahkan', 'bikin', 'kami', 'selaku', 'pemain', 'terbebani', 'dalam', 'hal', 'untuk', 'penginstalan', 'apalagi', 'bagi', 'penguna', 'baru', 'yang', 'baru', 'main', 'sebab', 'data', 'semakin', 'besar', 'gb', 'lebih', 'harus', 'dongload', 'data', 'tmbahan', 'lagi']","['update', 'kendalaseperti', 'halnya', 'jaringan', 'slalu', 'lambat', 'berat', 'jaringan', 'hp', 'bagus', 'ujungnya', 'kalah', 'kena', 'jaringan', 'kembalikn', 'aturan', 'lisensi', 'sperti', 'halnya', 'update', 'tnggal', 'kemarin', 'tambahan', 'data', 'efootball', 'bikin', 'pemain', 'terbebani', 'penginstalan', 'penguna', 'main', 'data', 'gb', 'dongload', 'data', 'tmbahan']",update kendalaseperti halnya jaringan slalu lambat berat jaringan hp bagus ujungnya kalah kena jaringan kembalikn aturan lisensi sperti halnya update tnggal kemarin tambahan data efootball bikin pemain terbebani penginstalan penguna main data gb dongload data tmbahan,negative
Mantap,5,Mantap,mantap,mantap,['mantap'],['mantap'],mantap,positive
"Tolong hilangkan sisa login di efb,soalnya menganggu sekali",5,Tolong hilangkan sisa login di efbsoalnya menganggu sekali,tolong hilangkan sisa login di efbsoalnya menganggu sekali,tolong hilangkan sisa login di efbsoalnya menganggu sekali,"['tolong', 'hilangkan', 'sisa', 'login', 'di', 'efbsoalnya', 'menganggu', 'sekali']","['tolong', 'hilangkan', 'sisa', 'login', 'efbsoalnya', 'menganggu']",tolong hilangkan sisa login efbsoalnya menganggu,negative
GAME GEDE SERVER SEKELAS POU,1,GAME GEDE SERVER SEKELAS POU,game gede server sekelas pou,game gede server sekelas pou,"['game', 'gede', 'server', 'sekelas', 'pou']","['game', 'gede', 'server', 'sekelas', 'pou']",game gede server sekelas pou,positive
mantap gamenya,5,mantap gamenya,mantap gamenya,mantap gamenya,"['mantap', 'gamenya']","['mantap', 'gamenya']",mantap gamenya,positive
"server nya gangguan Mulu lawak setelah update makin gajelas ni game, benerin lah servernya",2,server nya gangguan Mulu lawak setelah update makin gajelas ni game benerin lah servernya,server nya gangguan mulu lawak setelah update makin gajelas ni game benerin lah servernya,server nya gangguan melulu lawak setelah update makin gajelas ini game benerin lah servernya,"['server', 'nya', 'gangguan', 'melulu', 'lawak', 'setelah', 'update', 'makin', 'gajelas', 'ini', 'game', 'benerin', 'lah', 'servernya']","['server', 'gangguan', 'melulu', 'lawak', 'update', 'gajelas', 'game', 'benerin', 'servernya']",server gangguan melulu lawak update gajelas game benerin servernya,negative
kasih gacha bagus dong ini gmna ini sial mulu🥲,5,kasih gacha bagus dong ini gmna ini sial mulu,kasih gacha bagus dong ini gmna ini sial mulu,kasih gacha bagus dong ini gmna ini sial melulu,"['kasih', 'gacha', 'bagus', 'dong', 'ini', 'gmna', 'ini', 'sial', 'melulu']","['kasih', 'gacha', 'bagus', 'gmna', 'sial', 'melulu']",kasih gacha bagus gmna sial melulu,negative
iklan nya tidak bisa dilewatkan!!!,1,iklan nya tidak bisa dilewatkan,iklan nya tidak bisa dilewatkan,iklan nya tidak bisa dilewatkan,"['iklan', 'nya', 'tidak', 'bisa', 'dilewatkan']","['iklan', 'dilewatkan']",iklan dilewatkan,neutral
Ok,4,Ok,ok,ok,['ok'],['ok'],ok,positive
efootball tidak sportif😡,1,efootball tidak sportif,efootball tidak sportif,efootball tidak sportif,"['efootball', 'tidak', 'sportif']","['efootball', 'sportif']",efootball sportif,positive
Setelah update terbaru server di batasi terus. tolong di perbaiki,2,Setelah update terbaru server di batasi terus tolong di perbaiki,setelah update terbaru server di batasi terus tolong di perbaiki,setelah update terbaru server di batasi terus tolong di perbaiki,"['setelah', 'update', 'terbaru', 'server', 'di', 'batasi', 'terus', 'tolong', 'di', 'perbaiki']","['update', 'terbaru', 'server', 'batasi', 'tolong', 'perbaiki']",update terbaru server batasi tolong perbaiki,positive
"saya kasih bintang 2 dulu ,gini saya sedang push div 4(online) dan saat mau mulai bermain mental keluar sendiri ,padahal wifi lancar.tolong konami benerin nih bug eror di divisi",2,saya kasih bintang  dulu gini saya sedang push div online dan saat mau mulai bermain mental keluar sendiri padahal wifi lancartolong konami benerin nih bug eror di divisi,saya kasih bintang  dulu gini saya sedang push div online dan saat mau mulai bermain mental keluar sendiri padahal wifi lancartolong konami benerin nih bug eror di divisi,saya kasih bintang dulu gini saya sedang push div online dan saat mau mulai bermain mental keluar sendiri padahal wifi lancartolong konami benerin ini bug eror di divisi,"['saya', 'kasih', 'bintang', 'dulu', 'gini', 'saya', 'sedang', 'push', 'div', 'online', 'dan', 'saat', 'mau', 'mulai', 'bermain', 'mental', 'keluar', 'sendiri', 'padahal', 'wifi', 'lancartolong', 'konami', 'benerin', 'ini', 'bug', 'eror', 'di', 'divisi']","['kasih', 'bintang', 'gini', 'push', 'div', 'online', 'bermain', 'mental', 'wifi', 'lancartolong', 'konami', 'benerin', 'bug', 'eror', 'divisi']",kasih bintang gini push div online bermain mental wifi lancartolong konami benerin bug eror divisi,negative
menyerukan game efootball,5,menyerukan game efootball,menyerukan game efootball,menyerukan game efootball,"['menyerukan', 'game', 'efootball']","['menyerukan', 'game', 'efootball']",menyerukan game efootball,positive
gem asu ndlogok tiba² ngelegg anjing,1,gem asu ndlogok tiba² ngelegg anjing,gem asu ndlogok tiba² ngelegg anjing,gem asu ndlogok tiba² ngelegg anjing,"['gem', 'asu', 'ndlogok', 'tiba²', 'ngelegg', 'anjing']","['gem', 'asu', 'ndlogok', 'tiba²', 'ngelegg', 'anjing']",gem asu ndlogok tiba² ngelegg anjing,negative
